Barcode,Article,Percentage,OriginalPrice
FL209600-005,FL209600,50,
FL209600-006,FL209600,50,
FL209600-007,FL209600,50,
FL209600-008,FL209600,50,
FL209600-009,FL209600,50,
FL209600-010,FL209600,50,
FL209600-011,FL209600,50,
FL209601-005,FL209601,50,
FL209601-006,FL209601,50,
FL209601-007,FL209601,50,
FL209601-008,FL209601,50,
FL209601-009,FL209601,50,
FL209601-010,FL209601,50,
FL209601-011,FL209601,50,
FL209602-005,FL209602,50,
FL209602-006,FL209602,50,
FL209602-007,FL209602,50,
FL209602-008,FL209602,50,
FL209602-009,FL209602,50,
FL209602-010,FL209602,50,
FL209602-011,FL209602,50,
FL209603-005,FL209603,50,
FL209603-006,FL209603,50,
FL209603-007,FL209603,50,
FL209603-008,FL209603,50,
FL209603-009,FL209603,50,
FL209603-010,FL209603,50,
FL209603-011,FL209603,50,
FL209604-005,FL209604,50,
FL209604-006,FL209604,50,
FL209604-007,FL209604,50,
FL209604-008,FL209604,50,
FL209604-009,FL209604,50,
FL209604-010,FL209604,50,
FL209604-011,FL209604,50,
FL209605-005,FL209605,50,
FL209605-006,FL209605,50,
FL209605-007,FL209605,50,
FL209605-008,FL209605,50,
FL209605-009,FL209605,50,
FL209605-010,FL209605,50,
FL209605-011,FL209605,50,
FL209606-005,FL209606,50,
FL209606-006,FL209606,50,
FL209606-007,FL209606,50,
FL209606-008,FL209606,50,
FL209606-009,FL209606,50,
FL209606-010,FL209606,50,
FL209606-011,FL209606,50,
FM145412-007-021-M,FM145412,50,
FM145412-008-021-M,FM145412,50,
FM145412-009-021-M,FM145412,50,
FM145412-010-021-M,FM145412,50,
FM145412-011-021-M,FM145412,50,
FM145412-012-021-M,FM145412,50,
FM145412-013-021-M,FM145412,50,
FM145412-014-021-M,FM145412,50,
FM152887-008-117-M,FM152887,50,
FM152887-009-117-M,FM152887,50,
FM152887-010-117-M,FM152887,50,
FM152887-011-117-M,FM152887,50,
FM152887-012-117-M,FM152887,50,
FM152887-013-117-M,FM152887,50,
FM152887-014-117-M,FM152887,50,
FM171185-007-020-M,FM171185,50,
FM171185-008-020-M,FM171185,50,
FM171185-009-020-M,FM171185,50,
FM171185-010-020-M,FM171185,50,
FM171185-011-020-M,FM171185,50,
FM171185-012-020-M,FM171185,50,
FM171185-013-020-M,FM171185,50,
FM171185-014-020-M,FM171185,50,
FM174629-007-034-M,FM174629,50,
FM174629-008-034-M,FM174629,50,
FM174629-009-034-M,FM174629,50,
FM174629-010-034-M,FM174629,50,
FM174629-011-034-M,FM174629,50,
FM174629-012-034-M,FM174629,50,
FM174629-013-034-M,FM174629,50,
FM174629-014-034-M,FM174629,50,
FM175181-007-CBW-M,FM175181,50,
FM175181-008-CBW-M,FM175181,50,
FM175181-009-CBW-M,FM175181,50,
FM175181-010-CBW-M,FM175181,50,
FM175181-011-CBW-M,FM175181,50,
FM175181-012-CBW-M,FM175181,50,
FM175181-013-CBW-M,FM175181,50,
FM175181-014-CBW-M,FM175181,50,
FM181061-007-021-M,FM181061,50,
FM181061-008-021-M,FM181061,50,
FM181061-009-021-M,FM181061,50,
FM181061-010-021-M,FM181061,50,
FM181061-011-021-M,FM181061,50,
FM181061-012-021-M,FM181061,50,
FM181061-013-021-M,FM181061,50,
